"rowid","fpl_hostname","fpl_name","fpl_disc","fpl_orbper","fpl_rads","fst_dist","fst_logg","cluster","simil"
"0","Earth","Earth","0","1000","0.1","40","3","0","10"
"1","11 Com","11 Com b","2007","326.03","0.111","93.37","2.31","1","6.76234"
"2","11 UMi","11 UMi b","2009","516.21997","0.11199999999999999","125.72","1.93","1","6.30946"
"3","14 And","14 And b","2008","185.84","0.11800000000000001","75.59","2.63","1","7.18231"
"4","14 Her","14 Her b","2002","1773.40002","0.11800000000000001","17.94","4.45","1","7.98907"
"5","16 Cyg B","16 Cyg B b","1996","798.5","0.12300000000000001","21.15","4.36","1","7.2894"
"6","18 Del","18 Del b","2008","993.3","0.114","76.38","2.82","1","7.29717"
"7","1RXS J160929.1-210524","1RXS J160929.1-210524 b","2008","2319.5392238828044","0.171","145","4.354839473684218","1","7.76244"
"8","24 Boo","24 Boo b","2018","30.3506","0.127","96.25","2.42","1","6.47281"
"9","24 Sex","24 Sex b","2010","452.8","0.12300000000000001","72.21","3.5","1","7.77896"
"10","24 Sex","24 Sex c","2010","883","0.127","72.21","3.5","1","7.77327"
"11","2MASS J01225093-2439505","2MASS J01225093-2439505 b","2013","2319.5392238828044","0.10300000000000001","36","4.354839473684218","1","7.91118"
"12","2MASS J02192210-3925225","2MASS J02192210-3925225 b","2015","2319.5392238828044","0.14800000000000002","39.4","4.59","1","7.70139"
"13","2MASS J04414489+2301513","2MASS J04414489+2301513 b","2010","2319.5392238828044","0.11599999999999999","140","4.354839473684218","1","7.94166"
"14","2MASS J12073346-3932539","2MASS J12073346-3932539 b","2004","2319.5392238828044","0.11900000000000001","64.42","4.354839473684218","1","7.72788"
"15","2MASS J19383260+4603591","2MASS J19383260+4603591 b","2015","416","0.12300000000000001","400.77","3.91","1","6.20253"
"16","2MASS J21402931+1625183 A","2MASS J21402931+1625183 A b","2009","7336.5","0.09","25","4.354839473684218","1","7.99077"
"17","2MASS J22362452+4751425","2MASS J22362452+4751425 b","2016","2319.5392238828044","0.113","74","4.354839473684218","1","7.86515"
"18","30 Ari B","30 Ari B b","2009","335.10001","0.113","44.71","4.43","1","6.46855"
"19","4 UMa","4 UMa b","2006","269.3","0.11599999999999999","73.58","1.8","1","6.40665"
"20","42 Dra","42 Dra b","2008","479.1","0.11900000000000001","90.86","1.71","1","6.04134"
"21","47 UMa","47 UMa b","1996","1078","0.121","13.8","4.27","1","7.99188"
"22","47 UMa","47 UMa c","2001","2391","0.13","13.8","4.27","1","7.98363"
"23","47 UMa","47 UMa d","2009","14002","0.124","13.8","4.27","1","7.98944"
"24","51 Eri","51 Eri b","2015","11688","0.12300000000000001","29.4","4.354839473684218","1","5.7291"
"25","51 Peg","51 Peg b","1995","4.230785","0.131","15.47","4.33","1","8.05574"
"26","55 Cnc","55 Cnc b","1996","14.65152","0.128","12.59","4.45","1","7.65188"
"27","55 Cnc","55 Cnc c","2004","44.4175","0.078","12.59","4.45","1","7.67933"
"28","55 Cnc","55 Cnc d","2002","4825","0.11900000000000001","12.59","4.45","1","7.65743"
"29","55 Cnc","55 Cnc e","2004","0.736539","0.018000000000000002","12.59","4.45","0","9.49394"
"30","55 Cnc","55 Cnc f","2007","262","0.07","12.59","4.45","1","7.68258"
"31","6 Lyn","6 Lyn b","2008","934.3","0.12300000000000001","54.74","3.19","1","7.50574"
"32","61 Vir","61 Vir b","2009","4.215","0.019","8.51","4.34","1","7.87013"
"33","61 Vir","61 Vir c","2009","38.021","0.040999999999999995","8.51","4.34","1","7.86597"
"34","61 Vir","61 Vir d","2009","123.01","0.047","8.51","4.34","1","7.86409"
"35","7 CMa","7 CMa b","2011","796","0.122","19.82","3.25","1","7.55508"
"36","70 Vir","70 Vir b","1996","116.688","0.11599999999999999","17.91","3.95","1","7.88522"
"37","75 Cet","75 Cet b","2012","691.9","0.121","83.15","2.63","1","7.22461"
"38","8 UMi","8 UMi b","2015","93.4","0.125","163.32","2.57","1","6.99793"
"39","81 Cet","81 Cet b","2008","952.7","0.11800000000000001","101.53","2.35","1","7.01091"
"40","91 Aqr","91 Aqr b","2013","181.4","0.12","44.08","2.52","1","7.12616"
"41","AB Pic","AB Pic b","2005","2319.5392238828044","0.113","50.12","4.44","1","7.54"
"42","BD+03 2562","BD+03 2562 b","2017","481.9","0.11699999999999999","2618","1.89","1","5.68511"
"43","BD+14 4559","BD+14 4559 b","2009","268.94","0.126","49.42","4.26","1","8.07104"
"44","BD+15 2375","BD+15 2375 b","2016","153.22","0.126","774","2.61","1","7.14417"
"45","BD+15 2940","BD+15 2940 b","2013","137.48","0.126","431.61","2.8","1","7.21895"
"46","BD+20 2457","BD+20 2457 b","2009","379.63","0.106","1670.85","1.77","1","4.40072"
"47","BD+20 2457","BD+20 2457 c","2009","621.99","0.113","1670.85","1.77","1","4.40413"
"48","BD+20 274","BD+20 274 b","2012","578.2","0.11900000000000001","1383.85","1.99","1","6.47609"
"49","BD+20 594","BD+20 594 b","2016","41.6855","0.024","180.39","4.5","0","9.91129"
"50","BD+48 738","BD+48 738 b","2011","392.6","0.127","892.17","2.24","1","6.89662"
"51","BD+48 740","BD+48 740 b","2018","733","0.124","678.94","2.48","1","7.10811"
"52","BD+49 828","BD+49 828 b","2015","2590","0.124","447.59","2.85","1","7.30198"
"53","BD-06 1339","BD-06 1339 b","2013","3.8728","0.026000000000000002","20.28","4.74","1","8.25165"
"54","BD-06 1339","BD-06 1339 c","2013","125.94","0.077","20.28","4.74","1","8.22716"
"55","BD-08 2823","BD-08 2823 b","2009","5.6","0.033","41.38","4.43","1","8.21147"
"56","BD-08 2823","BD-08 2823 c","2009","237.6","0.114","41.38","4.43","1","8.15129"
"57","BD-10 3166","BD-10 3166 b","2000","3.48777","0.129","84.61","4.69","1","7.85456"
"58","BD-11 4672","BD-11 4672 b","2014","1667","0.13","27.3","4.1","1","8.01359"
"59","BD-13 2130","BD-13 2130 b","2007","714.29999","0.114","948.75","2.2","1","6.54732"
"60","BD-17 63","BD-17 63 b","2008","655.6","0.11800000000000001","34.49","4.26","1","8.10562"
"61","CFBDSIR J145829+101343","CFBDSIR J145829+101343 b","2011","10037.5","0.114","23.1","4.72","1","8.2024"
"62","CHXR 73","CHXR 73 b","2006","2319.5392238828044","0.113","191.05","4.354839473684218","1","7.21767"
"63","CI Tau","CI Tau b","2019","8.9891","0.114","158","4.354839473684218","1","7.95932"
"64","CT Cha","CT Cha b","2007","2319.5392238828044","0.226","165","4.354839473684218","1","6.99107"
"65","CoRoT-1","CoRoT-1 b","2008","1.5089557","0.153","805.31","4.25","0","8.12531"
"66","CoRoT-10","CoRoT-10 b","2010","13.2406","0.1","345","4.65","0","9.82607"
